date,status,flags,change.followup_7d.den,change.followup_7d.excluded,change.followup_7d.num,change.followup_7d.pct,change.followup_7d.population,change.loss_reason.den,change.loss_reason.num,change.loss_reason.pct,change.segment.den,change.segment.num,change.segment.pct,change.stalled_30d.count,change.stalled_30d.den,change.stalled_30d.excluded,change.stalled_30d.population,change.value_filled.den,change.value_filled.num,change.value_filled.pct,change.value_filled.unverified,executive.closed_novo.lost,executive.closed_novo.won,executive.pipeline_leads.count,executive.pipeline_value.count,executive.pipeline_value.leads,executive.pipeline_value.valued,executive.raw_backlog.count,executive.raw_backlog.novo_uncounted,executive.raw_backlog.pct_over_30,executive.tier_a_value.count,executive.tier_a_value.leads,operational.alert_flagged.count,operational.enviados_open.count,operational.enviados_open.stale_pct,operational.missing_values.count,operational.missing_values.den,operational.retificado_stalled_7d.count,operational.retificado_stalled_7d.eur,operational.retificado_value.count,operational.retificado_value.leads,operational.sla_48h.at_stage,operational.sla_48h.count,operational.sla_48h.den,operational.sla_48h.excluded
2026-08-11,measured,DQ-S6;not-comparable,89,,41,46.1,,1912,132,6.9,197,0,0,2,197,,,44,44,100.0,,,,,,,,,,,,,0,89,53.9,0,44,21,69482,149241,44,,0,1,
2026-08-12,measured,DQ-S6;not-comparable,95,,46,48.4,,1916,132,6.9,197,0,0,2,197,,,43,43,100.0,,,,,,,,,,,,,0,95,51.6,0,43,21,70021,146629,43,,0,0,
2026-08-13,measured,DQ-S6;not-comparable,102,,39,38.2,,1920,132,6.9,205,0,0,2,205,,,44,44,100.0,,,,,,,,,,,,,0,102,61.8,0,44,22,73535,140695,44,,0,0,
2026-08-14,measured,DQ-S6;not-comparable,104,,34,32.7,,1921,132,6.9,209,0,0,2,209,,,44,44,100.0,,,,,,,,,,,,,0,104,67.3,0,44,26,89847,135113,44,,0,0,
2026-08-15,measured,DQ-S6;not-comparable,104,,26,25.0,,1921,132,6.9,209,0,0,3,209,,,44,44,100.0,,,,,,,,,,,,,0,104,75.0,0,44,28,96950,135113,44,,0,8,
2026-08-16,measured,DQ-S6;not-comparable,104,,26,25.0,,1921,132,6.9,209,0,0,3,209,,,44,44,100.0,,,,,,,,,,,,,0,104,75.0,0,44,28,96950,135113,44,,0,8,
2026-08-17,measured,not-comparable,105,,31,29.5,,1928,143,7.4,212,208,98.1,3,212,,,45,44,97.8,,12,6,212,655167,212,201,470,19,77.0,199983,22,0,105,65.7,1,45,19,58200,147381,45,1,1,1,0
2026-08-18,measured,not-comparable,111,,29,26.1,,1940,146,7.5,207,200,96.6,2,207,,,35,35,100.0,,23,11,207,623451,207,194,472,13,76.9,187638,18,0,111,63.1,0,35,13,33411,123769,35,0,0,0,0
2026-08-19,measured,not-comparable,61,,27,44.3,,2000,147,7.3,146,138,94.5,2,146,,,22,22,100.0,,82,19,146,503703,146,132,471,21,77.3,165286,14,0,61,32.8,0,22,2,2764,86344,22,0,0,0,0
2026-08-20,measured,not-comparable,60,,22,36.7,,2009,148,7.4,144,135,93.8,3,144,,,21,21,100.0,,91,24,144,512669,144,129,475,24,77.7,165459,13,0,60,28.3,0,21,2,1243,84569,21,0,0,0,0
2026-08-21,measured,not-comparable,69,,18,26.1,,2010,150,7.5,157,140,89.2,3,157,,,22,22,100.0,,93,28,157,531308,157,134,468,32,80.8,204923,17,0,69,29.0,0,22,4,24518,109137,22,1,0,1,0
2026-08-22,measured,not-comparable,79,,16,20.3,,2012,152,7.6,164,145,88.4,3,164,,,22,22,100.0,,95,32,164,546697,164,139,468,33,82.1,210622,18,0,79,27.8,0,22,9,43842,113965,22,0,0,0,0
2026-08-23,measured,not-comparable,79,,16,20.3,,2012,152,7.6,164,145,88.4,3,164,,,22,22,100.0,,95,32,164,546697,164,139,468,40,82.3,185957,16,0,79,27.8,0,22,9,43842,113965,22,0,0,0,0
2026-08-24,measured,not-comparable,79,,16,20.3,,2012,152,7.6,164,145,88.4,3,164,,,22,22,100.0,,95,32,164,546697,164,139,468,53,83.5,185957,16,0,79,27.8,0,22,9,43842,113965,22,0,0,0,0
2026-08-25,measured,not-comparable,103,,5,4.9,,2014,155,7.7,197,164,83.2,3,197,,,26,26,100.0,,98,33,197,586336,197,158,468,35,84.2,202041,19,0,103,31.1,0,26,18,105315,128161,26,3,3,3,0
2026-08-26,measured,,52,55,32,61.5,107,2020,158,7.8,198,162,81.8,3,178,20,198,34,34,100.0,,104,37,198,563891,198,157,469,43,84.2,236490,23,0,107,18.7,0,34,14,76380,176042,34,2,2,2,0
2026-08-27,measured,,57,57,33,57.9,114,2020,158,7.8,207,169,81.6,3,187,20,207,35,35,100.0,,104,37,207,591004,207,164,469,46,84.2,250503,25,0,114,21.1,0,35,14,76380,181525,35,1,0,1,0
2026-08-28,measured,,60,57,36,60.0,117,2021,159,7.9,206,167,81.1,2,187,19,206,36,36,100.0,,105,45,206,588771,206,163,469,58,84.6,254364,25,0,117,20.5,0,36,14,68029,174012,36,11,2,11,0
2026-08-29,measured,,60,57,36,60.0,117,2019,159,7.9,207,169,81.6,2,189,18,207,41,41,100.0,,105,48,207,597463,207,165,469,70,86.1,265244,27,0,117,20.5,0,41,18,95124,191813,41,2,1,2,0
2026-08-30,measured,,60,57,36,60.0,117,2019,159,7.9,207,169,81.6,2,189,18,207,41,41,100.0,,105,48,207,597463,207,165,469,90,88.1,255737,25,0,117,20.5,0,41,18,95124,191813,41,2,2,2,0
2026-08-31,measured,,60,57,36,60.0,117,2019,159,7.9,207,169,81.6,4,189,18,207,41,41,100.0,,105,48,207,597463,207,165,469,97,88.3,214979,22,0,117,20.5,0,41,18,95124,191813,41,2,2,2,0
